Subject,Catalog,Instructor_Name,Requisite,Long Title,Description
MKTG,3590,"['Lo,Ho Fu Des']",(MKTG 3000 OR MKTG 3552 OR MKTG 551 OR MKTG 2552 OR MKTG 856) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Designing and Managing Dynamic Market Channels,"Focuses on understanding current theory and development of the analytical skills required for effective management and strategic deployment of multi-channel marketing decisions. Includes topics on channel planning, design; management of power, conflict and coordination in channel relationships; role of strategic alliances; and managing indirect channels. Requires creation of an in-depth case analyses and a channel audit project."
MKTG,3592,"['Bajaj,Aditi' 'Shi,Wei' 'Williams,Patrick John']",(MKTG 3000 OR MKTG 3552 OR MKTG 551 OR MKTG 2552 OR MKTG 856) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Internet Marketing & eCommerce,Provides the background and analytical skills to effectively manage Internet marketing and e-commerce strategies. Examines how the Internet can be leveraged into the marketing activities of a business. Students will develop an Internet marketing plan for an existing business. Prerequisite: MKTG 553.
MKTG,3594,"['Montermoso,Juan P']",(MKTG 3000 OR MKTG 3552 OR MKTG 551 OR MKTG 2552 OR MKTG 856) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Business to Business Marketing,"Examines using value as the cornerstone for decision-making, focusing on business processes and the business as a buying center with the various roles of participants, stressing business across borders, and accentuating working relationships and business networks. Uses core readings and in-depth case analysis, encompasses management activities that enable a supplier firm to understand, create, and deliver value to other businesses, governments, or institutional customers. In the context of these business markets, value refers to the economic, technical, service, and social benefits a customer firm may receive for buying the market offering. Teaches critical analytical and problem solving skills for a variety of business marketing solutions."
MKTG,3596,"['Byers,Charles F']",(MKTG 3000 OR MKTG 3552 OR MKTG 2552 OR MKTG 551 OR MKTG 856) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Integrated Market Communications,"Introduces the concept of integrated marketing communications (IMC). Provides a basic understanding of communication theory, marketing, branding, integrating marcom tactics, planning and coordinating IMC programs. Addresses marcom tactics of advertising, public relations, direct response, collateral, the Internet, and digital media. Addresses business-to-business and high technology marketing communications. Incorporates a thorough understanding of objectives, strategies, tactics and budgeting."
MKTG,3597,"['Dong,Xiaojing' 'Thomas,Michael W' 'Wang,Lin']",(MKTG 3000 OR MKTG 3552 OR MKTG 551 OR MKTG 2552 OR MKTG 856) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Marketing Analytics,"Prepares managers to (1) identify the competitive advantages that come from leveraged analytics; (2) apply the tools, and evaluate the advantages and limitations of each; (3) implement these tools, ask relevant business questions that could be solved with them; and (4) interpret the input and communicate the output from such tools and models to achieve more profitable business decisions."
MKTG,3598,"['Wang,Lin Jen']",MSBUSAMJ Academic ONLY,Business Analytics Practicum,Practicum/Capstone course for MS Business Analytics students.  All students will work independently with their advisor to gain enrollment in this course.
MKTG,3599,"['Wang,Lin Jen']",MSBUSAMJ Academic Plan Only,Business Analytics Practicum,Practicum/Capstone course for MS Business Analytics students.  All students will work independently with their advisor to gain enrollment in this course.
MKTG,3698,"['Byers,Charles F' 'Das,Sanjiv R' 'Dong,Xiaojing' ""O'Keefe,Sean Robert""
 'Wang,Lin Jen' 'Weiner,Mark Allan']",,Independent Study,
MKTG,3710,"['Byers,Charles F' 'Weiner,Mark Allan']",(MKTG 3000 OR MKTG 3552 OR MKTG 551 OR MKTG 2552 OR MKTG 856) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Tech Marketing: Winning Strategies for Effective Messaging,"The success of a marketing campaign or overall strategy ultimately depends on how a companys end customers perceive, accept and adopt a products value proposition / positioning / resulting messaging. Especially in high technology markets, where new purchases are capital investments measured by impact to the business and return on investment, a products value proposition has to be extremely clear, tangible and differentiated in order to achieve vendor preference, as well as maintain desired pricing and margin levels. This two credit-hour course focuses on proven, effective strategies for understanding customer requirements and translating them into clear, digestable and differentiated messaging statements. We will provide strategies and examples to achieve strong competitive positioning, as well as how and when to (re-)define an entire market vs. just differentially position your products. Specific topics will include best practices for positioning and messaging creation, competitive landscape modeling and developing differentiation, translating customer requirements into effective positioning/ messaging, and wholesale market (re-definition). Additional focus will include an overview of core media assets to effectively drive adoption of positioning/messaging in todays increasingly Web 2.0 world."
MKTG,3712,"['Byers,Charles F']",(MKTG 3000 OR MKTG 3552 OR MKTG 2552 OR MKTG 551 OR MKTG 856) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Achieving Brand Leadership,"Provides a framework and tools for marketers to be successful with branding. Beginning with a fundamental review of the core branding elements, we weigh the importance of both the promise and the experience aspects of branding in building and sustaining trust. An examination of brand measurements illuminates the power of metrics and highlight different aspects of branding strategies. A look at past cases of successful and unsuccessful branding bring out variations in approaches to such issues as master brands, sub-brands, and the branding of services. Finally, the impact of branding architectures and creative positioning on brand equity are considered. Uses both management readings and current articles to provide a solid foundation for analysis. A series of cases drawn from both the product and service arenas will enable students to apply this analytical framework to actual situations. Brand equity and its related metrics provide a standard basis in evaluating various strategies for establishing and growing brands. A final individual course project offers an opportunity to integrate various facets of branding for a specific product or service."
MKTG,3716,"['Kalyanam,Kirthi']",,Digital Advertising,"This course covers key issues in internet advertising. Provides an in depth understanding of search ads, search engine optimization, search engine marketing, display ads, retargeting, ad auctions, programmatic implications. You will also gain a deep understanding of critical measurement methods and issues relating to paid advertising. Also discusses advertising on mobile devices."
MKTG,3718,"['Lo,Ho Fu Des']",,Sales Management,"Provides the student with user-level knowledge of sales concepts and management methodologies necessary to effectively perform and manage the sales function. In the role of a sales or marketing manager, enables the student to apply these concepts to selling consumer products as well as high-tech industrial products. Includes concepts related to organizational structuring, territory plans and reviews, resource management, sales incentives, and compensation programs."
MKTG,3720,"['Sarangee,Kumar R']",,Product Innovation,"Presents the product manager or marketer as a generalist with responsibility for the multifunctional, multidisciplinary approach required to develop, launch, and manage successful products. Includes in-depth treatments of product life cycle analysis, buyer utility, competitive set, customer and market analysis, pricing, and the product launch process. Appropriate for those interested in high-technology and/or consumer product markets."
MKTG,3726,"['Kalyanam,Kirthi']",,Programmatic Advertising,"Programmatic advertising is the software-driven, algorithmic transaction of display advertising space in real time. As advertising rapidly shifts from traditional to digital formats, and as this digital advertising itself becomes increasingly programmatic, the industry needs technologists who are able to harness this constantly evolving and complex domain."
MKTG,3801,"['Zhang,Yuchi']",(MKTG 3000 OR MKTG 3552 OR MKTG 551 OR MKTG 2552 OR MKTG 856) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Social Media Marketing,"In  the  past  few  years,  social  media  has  become  a  popular  platform  for  consumers  to  share  their  opinions   about  the  products  and  services  they  buy.  Marketers,  in  turn,  are  using  social  media  to  not  only  gain  insights   from  their  customers  but  also  connect  and  communicate  them.  Currently,  it  is  critical  for  most  marketers  to   have  a  social  media  presence  as  they  leverage  this  platform  to  grow  their  business.      
This  course  focuses  on  how  marketers  can  translate  insights  from  social  media  data  into  actionable  marketing   strategies  and  tactics.  We  first  need  to  understand  the  basics  of  social  media,  viral  marketing,  and  data   generation.  We  will  explore  who  is  posting  content  and  why  are  they  posting.  Second,  we  will  learn  how  to   analyze  data  generated  through  social  media.  This  includes  both  numerical  such  as  Amazon  ratings,  Facebook   likes,  and  Twitter  tweets  and  textual  such  as  the  comments  written  on  Facebook,  blogs,  and  many  other  social   media  platforms.  Finally,  we  will  focus  on  actionable  marketing  decisions  based  on  the  social  media  data   analysis.  This  includes  responding  to  user  comments  or  integrating  social  media  marketing  with  traditional   paid  media.    
The  intention  of  this  course  is  to  provide  you  with  a  solid  foundation  for  social  media  marketing  as  a  user  of   analytics-­based  information  and  reporting.  The  course  is  not  designed  to  teach  you  how  each  social  media   platform  works.  Rather,  the  broad  objective  is  to  provide  you  with  a  perspective  on  how  data-­based  insights   can  and  should  be  used  to  make  marketing  decisions  and  a  set  of  skills  for  analyzing  common  types  of  social   marketing  data  in  order  to  generate  meaningful  insights."
MKTG,3802,"['Saggar,Shashank']",(MKTG 3000 OR MKTG 3552 OR MKTG 551 OR MKTG 2552 OR MKTG 856) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Mobile Marketing and mCommerce,"Presents a set of useful concepts, frameworks and strategies to help students to better understand a new world that is built with the mobile device at its center. Students will analyze key aspects of M-Commerce and Mobile Marketing, and learn a set of strategies and tools, using which they can (i) create economically valuable M-Commerce products/ services,and (ii)marketproducts(bothtraditionalanddigital)tothemobileconsumer via the mobile medium.

The course primarily focuses on understanding: (a) new digital product business models and their underlying technologies, (b) mobile consumer behavior, © new mobile marketing techniques - including search, social media, geo-local, & omni-channel, and (d) mobile marketing metrics."
MKTG,3803,"['Day,Daniel']",(MKTG 3000 OR MKTG 3552 OR MKTG 551 OR MKTG 2552 OR MKTG 856) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Fundamentals of B2B Account-Based Marketing,"This course introduces the concepts critical understanding of contemporary B2B marketing and the emergence of Account-Based Marketing (ABM) as a Go-to-Market strategy. You will learn why account-based Marketing has recently become important and you will gain the understanding of when its appropriate to employ an ABM strategy and what types of companies utilize this approach.
Throughout this course you will gain hands on knowledge and experience in developing and evaluating effective ABM strategies. By successfully completing this course you will be able to use cutting edge marketing technologies in the implementation of an account-based marketing strategy including their use for measuring the effectiveness of the program."
MKTG,3804,"['Gupta,Shivank' 'Saggar,Shashank']",(MKTG 3000 OR MKTG 3552 OR MKTG 551 OR MKTG 2552 OR MKTG 856) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Fundamentals of Programmatic Advertising,"Programmatic advertising is the software-driven, algorithmic transaction of display advertising space in real time. As advertising rapidly shifts from traditional to digital formats, and as more transacts programmatically within digital advertising, the
industry needs technologists who are able to harness this constantly evolving and complex domain.  This course will transform programmatic novices into experts who can apply knowledge and experience to real-life scenarios. The course will provide foundational knowledge of the programmatic advertising landscape, an understanding of how it fits into marketing strategy, and the necessary skills to be able to navigate the space from various perspectives."
MSIS,2403,"['Chavali,Sreeram Kishore']",(MSFNCEMJ OR MSENTREPMJ),Database Management Systems - Fundamentals of SQL,"This course aims to give an understanding of and hands-on experience with the most widely used database tools. The objective of this course is to convey intermediate to advanced database concepts and to acquaint students with state-of-the-art software tools. The course will rely on classroom discussions, media articles and cases, as well as programming exercises and an integrative group project. Use of database software is required. A lab fee is required. Cross-listed as OMIS 366. Credit will not be given for both. Prerequisite: Experience with computer usage."
MSIS,2406,"['Chung,Sunghun']",(MSFNCEMJ OR MSENTREPMJ),R Programming,"Students will learn to manipulate and visualize data using the R programming language. Data manipulation includes importing/exporting data from any source, cleaning, merging, transforming, and reshaping datasets, generating variables using existing data as well as through simulation, and developing programs to generate custom functions that are not available in existing packages. Data visualization includes generating descriptive statistics, tables, graphs, and maps, as well as improving graphs by manipulating plot parameters."
MSIS,2407,"['Li,Tao' 'Tan,Tzu-Chin']",(MSFNCEMJ OR MSENTREPMJ),Data Analytics - Python,"Data analytics involves the application of scientific methodologies to extract, understand, and make predictions based on data sets from a broad range of sources. Data analytics requires knowledge and skills from three areas: (i) programming, (ii) math/statistics, and (iii) domain specific expertise. The objective of this course is to teach the programming skills relevant to data science. Students will learn to use a complete set of open source tools for data science in Python, including the Jupyter Notebook, NumPy, Pandas, Seaborn, scikit-learn, Colab, and many others. Students will learn skills that cover the various phases of exploratory data analysis: importing data, cleaning and transforming data, algorithmic thinking, grouping, aggregation, reshaping, visualization, time series, statistical modeling, and data exploration and communication of results. The course will utilize data from a wide range of sources and will culminate with a final project and presentation."
MSIS,2428,"['Parsian,Mahmoud']",,Big Data Modeling & Analysis,"Big Data and its role in carrying out modern business intelligence for actionable insight to address new business needs. This course is a lab led and open source software rooted course. Students will learn the fundamentals of Hadoop framework, NoSQL databases and R language. The class will focus on storage, process and analysis aspects of Big Data.    Students will have access to a MapR Hadoop image. The image is enhanced by instructor to include MongoDB and R.  Prerequisites: MSIS 2506, 2507 and 2503."
MSIS,2429,"['Khan,Arshad']",,Dashboards,"This course enables you to transform data into persuasive dashboards that effectively inform and guide management actions. Dashboards are persuasive if they motivate actions in an intended audience. Dashboards are effective if they offer comprehensive and reliable information. This course introduces and discusses the fundamental design principles and technology of dashboards and allows you to design, implement, and critique dashboards. (FNCE 2402 & MSIS 2403)"
MSIS,2431,"['Parsian,Mahmoud']",(MSFNCEMJ OR MSENTREPMJ),Machine Learning,This course introduces participants to quantitative techniques and algorithms that are based on big data (numerical and textual) or are theoretical models of big systems or optimization that are currently being used widely in business. It introduces topics that are often qualitative but that are now amenable to quantitative treatment. The course will prepare participants for more rigorous analysis of large data sets as well as introduce machine learning models and data analytics for business intelligence.
MSIS,2439,"['Khan,Arshad']",,Data Visualization,"	
This course enables you to explore data, identify insights, and develop evidence-based arguments using data visualization techniques. Completing this course equips you with a moderate level of data literacy, the ability to interpret, construct and convey arguments through the functional and truthful visual presentation of data. You will wrangle data, customize data visualization technologies, and programmatically develop data visualizations."
MSIS,2440,"['Goldenberg,Charles Bruce']",FNCE 2400,Practicum,Practicum/Capstone course for MS Finance & Analytics students.  All students will work independently with their advisor to gain enrollment in this course.
MSIS,2503,"['Chavali,Sreeram Kishore']",MSBUSAMJ Academic Plan Only,Database Management Systems - Fundamentals of SQL,"This course presents technical and managerial approaches to the analysis, design, and management of business data, databases, and database management systems. The topics include structured and unstructured data management, a comparison of relational and object-oriented databases, relational database conceptual and logical design, and database implementation and administration."
MSIS,2506,"['Chung,Sunghun' 'Vrdoljak,Denis Nikola']",MSBUSAMJ Academic Plan Only,R Programming,"Students will learn to manipulate and visualize data using the R programming language. Data manipulation includes importing/exporting data from any source, cleaning, merging, transforming, and reshaping datasets, generating variables using existing data as well as through simulation, and developing programs to generate custom functions that are not available in existing packages. Data visualization includes generating descriptive statistics, tables, graphs, and maps, as well as improving graphs by manipulating plot parameters. We will use data from multiple different sources."
MSIS,2507,"['Tan,Tzu-Chin']",MSBUSAMJ Academic Plan Only,Data Analytics - Python,"Data analytics involves the application of scientific methodologies to extract, understand, and make predictions based on data sets from a broad range of sources. Data analytics requires knowledge and skills from three areas: (i) programming, (ii) math/statistics, and (iii) domain specific expertise."
MSIS,2508,"['Li,Tao' 'Parsian,Mahmoud']",MSBUSAMJ Academic Plan Only,Data Science and Machine Learning,This course introduces participants to quantitative techniques and algorithms that are based on big and small data (numerical and textual). We also analyze theoretical models of big systems for prediction and optimization that are currently being used widely in business. It introduces topics that are often qualitative but that are now amenable to quantitative treatment. The course will prepare participants for more rigorous analysis of large data sets as well as introduce machine learning models and data analytics for business intelligence.
MSIS,2527,"['Parsian,Mahmoud']",MSBUSAMJ Academic ONLY,Big Data Modeling & Analytics,"Big Data and its role in carrying out modern business intelligence for actionable insight to address new business needs. This course is a lab led and open source software rooted course. Students will learn the fundamentals of Hadoop framework, NoSQL databases and R language. The class will focus on storage, process and analysis aspects of Big Data.    Students will have access to a MapR Hadoop image. The image is enhanced by instructor to include MongoDB and R.  Prerequisites: MSIS 2506, 2507 and 2503."
MSIS,2529,"['Khan,Arshad']",,Dashboards,"This course enables you to transform data into persuasive dashboards that effectively inform and guide management actions. Dashboards are persuasive if they motivate actions in an intended audience. Dashboards are effective if they offer comprehensive and reliable information. This course introduces and discusses the fundamental design principles and technology of dashboards and allows you to design, implement, and critique dashboards."
MSIS,2539,"['Khan,Arshad']",,Data Visualization,"This course enables you to explore data, identify insights, and develop evidence-based arguments using data visualization techniques. Completing this course equips you with a moderate level of data literacy, the ability to interpret, construct and convey arguments through the functional and truthful visual presentation of data. You will wrangle data, customize data visualization technologies, and programmatically develop data visualizations."
MSIS,2540,"['Cai,Ye' 'Dong,Xiaojing' 'Goldenberg,Charles Bruce' 'Li,Tao'
 'Morid,Mohammad Amin' 'Samorani,Michele' 'Trepanier,Daniel Pierre'
 'Varma,Subir' 'Wang,Lin Jen' 'Warren,Graeme Mark Herbert' 'Zhang,Yuchi']",MSBUSAMJ Academic Plan Only,Industry Practicum,Industry Practicum
MSIS,2542,"['Cai,Ye' 'Dong,Xiaojing' 'Goldenberg,Charles Bruce' 'Li,Tao'
 'Morid,Mohammad Amin' 'Samorani,Michele' 'Trepanier,Daniel Pierre'
 'Varma,Subir' 'Wang,Lin Jen' 'Warren,Graeme Mark Herbert' 'Zhang,Yuchi']",MSBUSAMJ Academic ONLY,Industry Practicum,Industry Practicum
MSIS,2601,"['Ghiassi,Manoochehr']",MSINFSYSMJ Academic Plan ONLY,Object-Oriented Software Design Analysis and Programming,"Provide students with an overview of object-oriented programming methodology using the Java Programming Language.  Course will present different programming paradigms, including structured (procedural) and object oriented, compare and contrast these approaches, object oriented programming concepts including data abstraction, abstract data types, classes and objects, inheritance, polymorphism, encapsulation, packages and interfaces, and multithreaded programming. To support GUI-based Java applications, concepts and tools such as event handling, Generics programming, Swing, and JavaFX, (libraries and classes introduced in JDK 8 and beyond) windowing systems and frameworks are introduced to support modern lightweight development of Java-based Applets. Prerequisite: Knowledge of C programming language or equivalent."
MSIS,2602,"['Dessouky,Yasser M']",MSINFSYSMJ Academic Plan ONLY,Information Systems Analysis & Design,"Methodology to assist in the analysis and design of computer-based information systems for business applications. Tools include data flow diagrams, flowcharts, Structured English, pseudo code, hierarchy charts, structure diagrams, and Warnier-Orr charts. Application of these tools to a systems development project is required. Cross-listed as OMIS 372. Credit will not be given for both. Prerequisite: None."
MSIS,2603,"['Chavali,Sreeram Kishore' 'Nandagopalan,Ravikumar' 'Zimbra,David Kyle']",MSINFSYSMJ Academic Plan ONLY,Database Management Systems,"This course aims to give an understanding of and hands-on experience with the most widely used database tools. The objective of this course is to convey intermediate to advanced database concepts and to acquaint students with state-of-the-art software tools. The course will rely on classroom discussions, media articles and cases, as well as programming exercises and an integrative group project. Use of database software is required. A lab fee is required. Cross-listed as OMIS 366. Credit will not be given for both. Prerequisite: Experience with computer usage."
MSIS,2604,"['Mank,Darrel Aloysius' 'nan']",MSINFSYSMJ Academic Plan ONLY,Information Systems Policy and Strategy,"Strategic management and deployment of information systems and technologies (ISTs) to improve business competitiveness. An examination of the role of IST strategy in enabling companies to effectively manage in the turbulent and dynamic business environment brought about by the Internet. Analysis of new business opportunities in electronic commerce brought about by ISTs, including organizational redesign that these technologies require. An examination of implementation and change management issues related to IST deployment in the new environment. Focuses on drawing lessons from the experiences of leading companies that are deploying ISTs to define and support their e-commerce strategies. Cross-listed as OMIS 378. Credit will not be given for both. Prerequisite: None."
MSIS,2605,"['Ceran,Yasin']",MSINFSYSMJ Academic Plan ONLY,Telecommunications & Business Networks,"This course provides the essential technical understanding necessary to evaluate and integrate telecommunication technologies into sustainable business models as well as to make decisions concerning the communications infrastructure in any organization. Covering technologies including voice and data networks, local and wide area networking, internet, and generations of wireless technologies to form the basis for the discussion of economic and managerial issues about how the technology is deployed, including issues of interoperability, scalability, regulations, security, service level agreements, convergence, unified messaging, and service quality. Prerequisite: None."
MSIS,2606,"['Chang,Lily Lili' 'Ghiassi,Manoochehr']",(MSIS 601 OR MSIS 2601) AND (MSIS 602 OR MSIS 2602) AND MSINFSYSMJ,Software Project Management,"An overview of software project development methodology, covering both technical and managerial aspects of software development. Examines alternate software life cycle models and introduces modern techniques for definition, design, implementation, and validation of software products. Cross-listed as OMIS 368.  Credit will not be given for both.  Prerequisite: Knowledge of or experience with a high-level programming language, or permission of instructor."
MSIS,2607,"['Li,Tao' 'Tan,Tzu-Chin' 'Vrdoljak,Denis Nikola']",MSINFSYSMJ Academic Plan ONLY,Data Analytics - Python,"Data analytics involves the application of scientific methodologies to extract, understand, and make predictions based on data sets from a broad range of sources. Data analytics requires knowledge and skills from three areas: (i) programming, (ii) math/statistics, and (iii) domain specific expertise. The objective of this course is to teach the programming skills relevant to data science. Students will learn to use a complete set of open source tools for data science in Python, including the Jupyter Notebook, NumPy, Pandas, Seaborn, scikit-learn, Colab, and many others. Students will learn skills that cover the various phases of exploratory data analysis: importing data, cleaning and transforming data, algorithmic thinking, grouping, aggregation, reshaping, visualization, time series, statistical modeling, and data exploration and communication of results. The course will utilize data from a wide range of sources and will culminate with a final project and presentation."
MSIS,2613,"['Nandagopalan,Ravikumar']",MSINFSYSMJ ONLY,"Database Analysis, Design & Management","Course presents technical and managerial approaches to the analysis, design, and management of business data, databases, and database management systems.  The topics include structured and unstructured data management, a comparison of relational and object-oriented databases, relational database conceptual and logical design, and database implementation and administration."
MSIS,2621,"['Chavali,Sreeram Kishore']",(MSIS 603 OR MSIS 2603) AND MSINFSYSMJ,Business Intelligence & Data Warehousing,"Relevant information is essential to any business decision, which in the hands of an informed individual leads to better business decisions. However, most organizations struggle with the ability to provide decision-makers with the important information that they need in a timely manner. These organizations are confronted with this information struggle because they either do not understand what relevant information is needed and/or they do not know how to obtain it efficiently. By defining and implementing Business Intelligence (BI), Data Lakes and Data Warehousing (DW) strategies and technologies, an organization can overcome this information struggle and provide relevant information to its decision-makers.
This course introduces the business, technology, and managerial issues related to BI and DW solutions. Students will acquire practical skills in collecting business requirements, planning, defining, designing and developing a BI solution. Emphasis is placed on learning how to derive business value from BI and DW solutions. Hands-on experience will be obtained using a variety of BI tools. Prerequisite: MSIS 2603."
MSIS,2624,"['Tan,Tzu-Chin']",(MSIS 601 OR MSIS 2601) AND (MSIS 602 OR MSIS 2602) AND MSINFSYSMJ,E-Business Technologies: Virtualization and Cloud Computing,"Studies strategic management and deployment of information systems and technologies (ISTs) to improve business competitiveness. Examines the role of IST strategy in enabling companies to effectively manage in the turbulent and dynamic business environment brought about by the Internet. Analyzes new business opportunities in electronic commerce brought about by ISTs, including the organizational redesign that these technologies require. Reviews the implementation and change management issues related to IST deployment in the new environment. Focuses on drawing lessons from the experiences of leading companies that are deploying ISTs to define and support their e-commerce strategies. Prerequisite: None. (3 units)"
MSIS,2627,"['Parsian,Mahmoud']",(MSIS 601 OR 2601) AND (MSIS 603 OR 2603) AND MSINFSYSMJ,Big Data Modeling and Analytics,"Today, more than 80% of useful data is unstructured. Businesses ,governments and all organizations  now wants  to store, process and analyze these huge datasets economically and predictably to solve numerous problems  - find new markets, reduce risks, improve healthcare and many such applications. Todays useful data has velocity, variety and volume.  Old SQL databases are not fit to handle the new requirements.  Term  Big Data was coined to solve the emerging problem. 
This course is about Big Data and its role in carrying out modern business intelligence for actionable insight to address new business needs. This course is a lab led and open source software rooted course. Students will learn the fundamentals of Hadoop framework, NoSQL databases and R language. The class will focus on storage, process and analysis aspects of Big Data.    Students will have access to a MapR Hadoop image. The image is enhanced by instructor to include MongoDB and R.  Prerequisites: MSIS 2601 and 2603."
MSIS,2628,"['Wu,Feihong']",MSIS 2601 AND MSIS 2603 AND MSIS 2605 AND MSINFSYSMJ,Applied Cloud Computing,"Computing is migrating to cloud. In this course, you will understand as-a-service concepts by using services from major cloud providers and learn how to deploy and manage cloud infrastructure. This course focuses on hands-on skills required to operate on the three prime cloud service platform from Amazon, Google, and Microsoft. This course will offer an applied perspective on the core features of these platforms such as load balance, auto-scaling, serverless computing, and cloud AI."
MSIS,2629,"['Khan,Arshad' 'Schermann,Michael' 'Wadhwa,Sudhir K.']",(MSIS 601 OR 2601) AND (MSIS 603 OR 2603) AND MSINFSYSMJ,Dashboards,"This course enables you to transform data into persuasive dashboards that effectively inform and guide management actions. Dashboards are persuasive if they motivate actions in an intended audience. Dashboards are effective if they offer comprehensive and reliable information. This course introduces and discusses the fundamental design principles and technology of dashboards and allows you to design, implement, and critique dashboards."
MSIS,2630,"['Lu,Haibing' 'Wang,Yuan']",(MSIS 601 OR 2601) AND (MSIS 603 OR 2603) AND MSINFSYSMJ,Web Programming,"The course will focus on the design and development of web based applications using a number of currently popular tools and strategies; also to be explored is the use of databases as data repositories for web applications. Core technologies including HTML, CSS, JavaScript, PHP, and MySQL will be emphasized.
Prerequisites: MSIS 2601 and 2603"
MSIS,2631,"['Alvarez,Roberto Luis' 'Li,Tao' 'Parsian,Mahmoud' 'Wadhwa,Sudhir K.'
 'Wu,Lei']",MSIS 2601 AND MSIS 2603 AND MSINFSYSMJ,Machine Learning,This course introduces participants to quantitative techniques and algorithms that are based on big data (numerical and textual) or are theoretical models of big systems or optimization that are currently being used widely in business. It introduces topics that are often qualitative but that are now amenable to quantitative treatment. The course will prepare participants for more rigorous analysis of large data sets as well as introduce machine learning models and data analytics for business intelligence.
MSIS,2632,"['Chung,Sunghun']",MSIS 2601 AND MSIS 2603 AND MSIS 2605 AND MSINFSYSMJ,R Programming,"Students will learn to manipulate and visualize data using the R programming language. Data manipulation includes importing/exporting data from any source, cleaning, merging, transforming, and reshaping datasets, generating variables using existing data as well as through simulation, and developing programs to generate custom functions that are not available in existing packages. Data visualization includes generating descriptive statistics, tables, graphs, and maps, as well as improving graphs by manipulating plot parameters. We will use data from multiple different sources."
MSIS,2638,[nan],MSIS 2628,Cloud Computing Architectures,"Cloud computing is the on-demand availability of computer system resources, especially data storage and computing power, without direct active management by the user. The widespread adoption of hardware virtualization and the availability of low-cost computers and storage devices with high-capacity networks together with service-oriented architecture has led to growth in cloud computing.

This course will study what technologies make Cloud Computing possible and how IT leverage these technologies to make the enterprise computing environment more efficient. There are three parts to this course. The first part will study how hardware virtualization is made possible through computer architecture advancement. The second part will discuss the two main solutions in the virtualization layer which are hypervisor-based virtualization and container-based virtualization. The third part of the course will study the microservices and the containers workflow orchestration. 

This course includes hands-on labs in virtual machines creation based on different technologies like hypervisors (VMware) and container (Docker). We will also explore different workflow orchestration tools like Docker Swarm and/or Google Kubernetes."
MSIS,2639,"['Khan,Arshad']",MSIS 2629,Data Visualization,"This course enables you to explore data, identify insights, and develop evidence-based arguments using data visualization techniques. Completing this course equips you with a moderate level of data literacy, the ability to interpret, construct and convey arguments through the functional and truthful visual presentation of data. You will wrangle data, customize data visualization technologies, and programmatically develop data visualizations."
MSIS,2640,"['Goldenberg,Charles Bruce']",MSINFSYSMJ ONLY,Capstone Project Proposal,
MSIS,2641,"['Seidler,Simon']",MSINFSYSMJ Academic Plan ONLY,Information Technology: Ethics and Public Policy,"Introduces the normative principles for ethical decision-making: identifying 
which principles are applicable; and, weighing conflicting principles. Includes 
in-depth exploration of contemporary ethical issues, together with public 
policy issues relating to information technology in the context of the legal 
environment of business. Class lectures and discussions are based on the 
textbook, supplemented by ethical simulations and scenarios."
MSIS,2644,"['Ceran,Yasin' 'Ghiassi,Manoochehr']",,MSIS Masters Thesis,
MSIS,2645,"['Ceran,Yasin' 'Chung,Sunghun' 'Kadambi,Vasu' 'Lu,Haibing'
 'Samorani,Michele' 'Vrdoljak,Denis Nikola' 'Zimbra,David Kyle']",MSINFSYSMJ ONLY,Capstone Design Proposal,
MSIS,2646,"['Ceran,Yasin' 'Chung,Sunghun' 'Kadambi,Vasu' 'Lu,Haibing'
 'Samorani,Michele' 'Vrdoljak,Denis Nikola' 'Zimbra,David Kyle']",MSIS 2645 AND MSINFSYSMJ,Capstone Design Project I,
MSIS,2647,"['Ceran,Yasin' 'Chadha,Tejpal Singh' 'Chung,Sunghun' 'Kadambi,Vasu'
 'Lu,Haibing' 'Samorani,Michele' 'Vrdoljak,Denis Nikola'
 'Zimbra,David Kyle']",MSIS 2645 AND MSIS 2646 AND MSISINFSYSMJ,Capstone III,
MSIS,2650,"['Ceran,Yasin']",,Artificial Intelligence,"The course begins by describing what the latest generation of artificial intelligence techniques can actually do. After an introduction of some basic concepts and techniques, the course illustrates both the potential and current limitations of these techniques with examples from a variety of applications. We spend some time on understanding the strengths and weaknesses of human decision-making and learning, specifically in combination with AI systems. Exercises will include hands-on application of basic AI techniques as well as selection of appropriate technologies for a given problem and anticipation of design implications. In a final project, groups of students will participate in the creation of an AI-based application. Prereq: MSIS 2607."
